doc_id,countryname,party,manifesto_id,text,cmp_code,nostalgic_at_least_1,nostalgic_at_least_2,nostalgic_at_least_3,nostalgic_at_least_4,translation_at_least_1,translation_at_least_2,translation_at_least_3,translation_at_least_4,nostalgic_coder1,nostalgic_coder2,nostalgic_coder3,nostalgic_coder4,translation_coder1,translation_coder2,translation_coder3,translation_coder4,translation_agreement_coders,nostalgia_sum,nostalgia_sum_emb,nostalgia_emb,nostalgia_dictionary_emb,nostalgia_dictionary,nostalgia_agreement_coders
14810 2007-03-18 745,Finland,14810,14810 2007-03-18,"Economic injustice and cultural, historical and religious conflict mitigation does not succeed by force of arms.",105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
33320 2008-03-09 2688,Spain,33320,33320 2008-03-09,"a new Packaging Act will be adopted, which, among other things, regulate the reuse and the system of deposit, refund and return,",501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
31720 2002-06-09 61,France,31720,31720 2002-06-09,"Nationals of countries with which France has not had similar agreements, they must, before entering the country for tourism title, pay a deposit which will be returned to them when they left France.",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
88320 2008-10-12 31,Lithuania,88320,88320 2008-10-12,7. The re-emerging LSDP their active involvement helped Lithuania to regain its sovereignty.,601,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,2
53021 2011-02-25 44,Ireland,53021,53021 2011-02-25,The ULA condemns the complete failure of the government and the private sector to preserve or create jobs.,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
34212 2015-09-20 2193,Greece,34212,34212 2015-09-20,legal certainty - necessary for citizens and investments generated.,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11320 2018-09-09 221,Sweden,11320,11320 2018-09-09,"Improving the working conditions of police officers so that even more people to enter the profession, want to stop the police and return to the police force.",701,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,0,1,1,1,0,0
33320 2016-06-26 4777,Spain,33320,33320 2016-06-26,"Restore bilateral migration strategy cooperation with countries of origin and transit flows of immigrants abandoned in the last legislature, which should be a crucial tool for planning and management of legal movements of people.",107,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,2
88621 2016-10-09 3271,Lithuania,88621,88621 2016-10-09,The NATO returned to the main and most important of its task - territorial defense of the Allies.,104,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1
53951 2011-02-25 67,Ireland,53951,53951 2011-02-25,11)  Restoring the minimum wage at €8.65 an hour.,412,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,2
42520 1999-10-03 2469,Austria,42520,42520 1999-10-03,Each other - not next to each other or against each other,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33220 2011-11-20 514,Spain,33220,33220 2011-11-20,Erase from our streets and squares any honorable reference to the Francoist past we have suffered in this country.,202,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1
86220 2010-04-11 344,Hungary,86220,86220 2010-04-11,"national water management program is implemented at the property Water rational, more modern and more efficient use,",501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87071 2011-09-17 43,Latvia,87071,87071 2011-09-17,"• Modern, on the personal development focused educational system that would provide Latvian return to growth, success and self-confidence trails.",506,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,3
12320 1985-09-08 1490,Norway,12320,12320 1985-09-08,Each link in the chain is responsible for the child until the next paragraph may take over.,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
34710 2007-09-16 335,Greece,34710,34710 2007-09-16,"We disagree with the globalization that aims to extinction of local and national cultures and traditions, promoting enforce their replacement with a single system of values ​​based on multiculturalism and religious syncretism.",601,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,4
13410 1988-05-10 195,Denmark,13410,13410 1988-05-10,"Traditionally, Denmark has been quite so-called residual group not found space in education.",NA,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,0,1,1,1,0,0
42110 1994-10-09 661,Austria,42110,42110 1994-10-09,"assess the projects applied for conscientious, make the technical equipment for effective controls, or simplified official channels, the simple services to the citizens at all possible.",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11220 2018-09-09 398,Sweden,11220,11220 2018-09-09,How much students learn depends now more on what they will encounter and what parents they have.,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22521 1994-05-03 611,Netherlands,22521,22521 1994-05-03,7 The chosen path regarding increased investment in infrastructure should be extended.,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15620 2017-10-28 167,Iceland,15620,15620 2017-10-28,Prevention and public health,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35060 2015-10-04 1788,Portugal,35060,35060 2015-10-04,"Approve the National Road Safety Strategy 2016-2020, whose work is already underway;",605.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
